| Source Name                                  | Description                                                                                                                                                                                                                                                                                                                                                                                     | Knowledge Type                            | Domain                               | Region | Structure       | Format             | Source System                                           | Owner                                                    | Frequency | Relevance | Validity / Accuracy | Readiness for Reuse              | Recommended Quality Tier | Notes                                                                                                                                                 | Gaps Identified                                                                                                                                                                                                                                                |
| -------------------------------------------- | ----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- | ----------------------------------------- | ------------------------------------ | ------ | --------------- | ------------------ | ------------------------------------------------------- | -------------------------------------------------------- | --------- | --------- | ------------------- | -------------------------------- | ------------------------ | ----------------------------------------------------------------------------------------------------------------------------------------------------- | -------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- |
| South Region DPO Backcast Report             | Monthly distribution backcast deck comparing planned vs. actual distribution/DPO plan for the South Region (BAD and LEK); reviews forecast-to-actual volume balances, strategy drivers, and re-optimized Grey Sky / Blue Sky sensitivity cases with proposed next steps.                                                                                                                        | Formal Deliverable                        | Distribution Backcasting (DPO)       | South  | Semi-Structured | PDF                | Backcast Report SharePoint                              | DPO Backcaster                                           | Monthly   | High      | High                | Needs Contextualization          | Medium Confidence        | DPO Backcast includes a full package with model output. Report is one part of the package                                                             | Asset availability, market conditions provide rationale and context but are not fully documented as part of the reports; contextualization needed                                                                                                              |
| South LP Backcasting Report                  | Monthly LP (Linear Program) backcasting report for the South Region (BAD and LEK) covering crude optimization/ratability, cutpoint and yield analyses, butane balance, naphtha balance, and a consolidated Regional Opportunities value-tracking table.                                                                                                                                         | Formal Deliverable                        | LP Backcasting (XPIMS)               | South  | Semi-Structured | PDF                | Backcast Report SharePoint                              | VCO CI Manager                                           | Monthly   | High      | High                | Needs Contextualization          | Medium Confidence        |                                                                                                                                                       | Asset availability, market conditions provide rationale and context but are not fully documented as part of the reports; contextualization needed                                                                                                              |
| West Value Opportunity Tracker               | List of identified value opportunities from various VCO initiatives (gasoline lookback, LP backcast, LP Post Audit, Perfect Knowledge, Prompt Post Audit, Regional Backcasting)                                                                                                                                                                                                                 | Recurring CI Report                       | VCO CI                               | West   | Structured      | SharePoint List    | RVCO SharePoint                                         | VCO CI Manager                                           | Ad-Hoc    | High      | High                | Contextualized and ready for use | High Confidence          |                                                                                                                                                       | Consistency of tracking value opportunities varies depending on if it was ad-hoc vs. from a specific process (backcast); Tracker is not specific to a specific piece of documentation on where that value opportunity comes from (for example, April backcast) |
| North Value Opportunity Tracker              | List of identified value opportunities from various VCO initiatives (gasoline lookback, LP backcast, LP Post Audit, Perfect Knowledge, Prompt Post Audit, Regional Backcasting)                                                                                                                                                                                                                 | Recurring CI Report                       | VCO CI                               | North  | Structured      | SharePoint List    | RVCO SharePoint                                         | VCO CI Manager                                           | Ad-Hoc    | High      | High                | Contextualized and ready for use | High Confidence          |                                                                                                                                                       | Consistency of tracking value opportunities varies depending on if it was ad-hoc vs. from a specific process (backcast); Tracker is not specific to a specific piece of documentation on where that value opportunity comes from (for example, April backcast) |
| South Value Opportunity Tracker              | List of identified value opportunities from various VCO initiatives (gasoline lookback, LP backcast, LP Post Audit, Perfect Knowledge, Prompt Post Audit, Regional Backcasting)                                                                                                                                                                                                                 | Recurring CI Report                       | VCO CI                               | South  | Structured      | SharePoint List    | RVCO SharePoint                                         | VCO CI Manager                                           | Ad-Hoc    | High      | High                | Contextualized and ready for use | High Confidence          |                                                                                                                                                       | Consistency of tracking value opportunities varies depending on if it was ad-hoc vs. from a specific process (backcast); Tracker is not specific to a specific piece of documentation on where that value opportunity comes from (for example, April backcast) |
| RVCO Commercial Value Add                    | Tracks individual RVCO commercial value events across refineries — capturing the action taken, estimated dollar impact, owner, and vetting status for each initiative. Pulled directly from the Value Opportunity Tracker. Serves as the system of record for validating and quantifying realized commercial value across Crude, Unit Optimization, Maintenance Planning, and other categories. | Formal Deliverable                        | VCO CI                               | All    | Structured      | SharePoint List    | RVCO SharePoint                                         | DVCO's                                                   | Ad-Hoc    | High      | High                | Needs Contextualization          | High Confidence          |                                                                                                                                                       | Consistency of tracking opportunities varies depending on if it was ad-hoc vs. from a specific process (backcast)                                                                                                                                              |
| Blue Water Jones Act Lookback Report         | Monthly Blue Water Jones Act lookback report for the West Region pilot, covering forecast-vs-actual shipping volume variance, clean product and crude/dark oil comparisons, and variance tracking with next steps.                                                                                                                                                                              | Formal Deliverable                        | Blue Water Jones Act (BWJA) Lookback | West   | Semi-Structured | PDF                | Backcast Report SharePoint                              | Distribution Backcaster / Logistics Optimization Analyst | Monthly   | High      | High                | Needs Contextualization          | Medium Confidence        |                                                                                                                                                       | Contextualization needed                                                                                                                                                                                                                                       |
| Blue Water Jones Act Lookback Report         | Monthly Blue Water Jones Act lookback report for the South Region pilot, covering forecast-vs-actual shipping volume variance, clean product and crude/dark oil comparisons, and variance tracking with next steps.                                                                                                                                                                             | Formal Deliverable                        | Blue Water Jones Act (BWJA) Lookback | South  | Semi-Structured | PDF                | Backcast Report SharePoint                              | VCO Supply Coordinator / Logistics Optimization Analyst  | Monthly   | High      | High                | Needs Contextualization          | Medium Confidence        |                                                                                                                                                       | Contextualization needed                                                                                                                                                                                                                                       |
| North LP Backcasting Report                  | Monthly backcast review comparing planned vs. actual refinery operations across LSC's North Region sites (IKE, AJA, OJO, EPE), identifying value-optimization opportunities and lessons learned.                                                                                                                                                                                                | Formal Deliverable                        | LP Backcasting (XPIMS)               | North  | Semi-Structured | PDF                | Backcast Report SharePoint                              | VCO CI Manager                                           | Monthly   | High      | High                | Needs Contextualization          | Medium Confidence        |                                                                                                                                                       | Asset availability, market conditions provide rationale and context but are not fully documented as part of the reports; contextualization needed                                                                                                              |
